product_id,image_url,image_index,is_primary
645442002,https://www.gap.com/webcontent/0056/983/758/cn56983758.jpg,1,True
645442002,https://www.gap.com/webcontent/0056/983/762/cn56983762.jpg,2,False
645442002,https://www.gap.com/webcontent/0056/983/749/cn56983749.jpg,3,False
645442002,https://www.gap.com/webcontent/0056/983/768/cn56983768.jpg,4,False
645442002,https://www.gap.com/webcontent/0056/983/785/cn56983785.jpg,5,False
645442002,https://www.gap.com/webcontent/0056/982/985/cn56982985.jpg,6,False
871867002,https://www.gap.com/webcontent/0062/369/835/cn62369835.jpg,1,True
871867002,https://www.gap.com/webcontent/0055/602/680/cn55602680.jpg,2,False
871867002,https://www.gap.com/webcontent/0062/369/854/cn62369854.jpg,3,False
871867002,https://www.gap.com/webcontent/0062/369/840/cn62369840.jpg,4,False
871867002,https://www.gap.com/webcontent/0062/369/905/cn62369905.jpg,5,False
871867002,https://www.gap.com/webcontent/0062/369/934/cn62369934.jpg,6,False
888466002,https://www.gap.com/webcontent/0061/696/480/cn61696480.jpg,1,True
888466002,https://www.gap.com/webcontent/0061/696/491/cn61696491.jpg,2,False
888466002,https://www.gap.com/webcontent/0061/696/501/cn61696501.jpg,3,False
888466002,https://www.gap.com/webcontent/0061/546/376/cn61546376.jpg,4,False
888466002,https://www.gap.com/webcontent/0061/531/716/cn61531716.jpg,5,False
888466002,https://www.gap.com/webcontent/0061/696/500/cn61696500.jpg,6,False
729595002,https://www.gap.com/webcontent/0060/843/947/cn60843947.jpg,1,True
729595002,https://www.gap.com/webcontent/0060/843/977/cn60843977.jpg,2,False
729595002,https://www.gap.com/webcontent/0060/843/950/cn60843950.jpg,3,False
729595002,https://www.gap.com/webcontent/0060/843/934/cn60843934.jpg,4,False
729595002,https://www.gap.com/webcontent/0060/843/995/cn60843995.jpg,5,False
889860002,https://www.gap.com/webcontent/0062/017/656/cn62017656.jpg,1,True
889860002,https://www.gap.com/webcontent/0062/017/704/cn62017704.jpg,2,False
889860002,https://www.gap.com/webcontent/0062/036/369/cn62036369.jpg,3,False
889860002,https://www.gap.com/webcontent/0062/036/376/cn62036376.jpg,4,False
889860002,https://www.gap.com/webcontent/0062/036/383/cn62036383.jpg,5,False
889860002,https://www.gap.com/webcontent/0062/036/390/cn62036390.jpg,6,False
889863002,https://www.gap.com/webcontent/0062/315/570/cn62315570.jpg,1,True
889863002,https://www.gap.com/webcontent/0061/547/973/cn61547973.jpg,2,False
889863002,https://www.gap.com/webcontent/0061/546/361/cn61546361.jpg,3,False
889863002,https://www.gap.com/webcontent/0061/546/390/cn61546390.jpg,4,False
889863002,https://www.gap.com/webcontent/0061/546/425/cn61546425.jpg,5,False
889863002,https://www.gap.com/webcontent/0061/708/539/cn61708539.jpg,6,False
709193002,https://www.gap.com/webcontent/0056/456/187/cn56456187.jpg,1,True
709193002,https://www.gap.com/webcontent/0056/456/135/cn56456135.jpg,2,False
709193002,https://www.gap.com/webcontent/0056/456/062/cn56456062.jpg,3,False
709193002,https://www.gap.com/webcontent/0056/456/052/cn56456052.jpg,4,False
709193002,https://www.gap.com/webcontent/0056/456/061/cn56456061.jpg,5,False
709193002,https://www.gap.com/webcontent/0056/470/330/cn56470330.jpg,6,False
709148002,https://www.gap.com/webcontent/0059/167/007/cn59167007.jpg,1,True
709148002,https://www.gap.com/webcontent/0059/166/539/cn59166539.jpg,2,False
709148002,https://www.gap.com/webcontent/0059/166/512/cn59166512.jpg,3,False
709148002,https://www.gap.com/webcontent/0059/166/489/cn59166489.jpg,4,False
709148002,https://www.gap.com/webcontent/0059/166/508/cn59166508.jpg,5,False
709148002,https://www.gap.com/webcontent/0059/208/584/cn59208584.jpg,6,False
796684002,https://www.gap.com/webcontent/0059/923/930/cn59923930.jpg,1,True
796684002,https://www.gap.com/webcontent/0059/922/597/cn59922597.jpg,2,False
796684002,https://www.gap.com/webcontent/0059/922/622/cn59922622.jpg,3,False
796684002,https://www.gap.com/webcontent/0059/922/636/cn59922636.jpg,4,False
796684002,https://www.gap.com/webcontent/0059/565/650/cn59565650.jpg,5,False
796684002,https://www.gap.com/webcontent/0059/922/649/cn59922649.jpg,6,False
796679002,https://www.gap.com/webcontent/0059/901/677/cn59901677.jpg,1,True
796679002,https://www.gap.com/webcontent/0059/901/358/cn59901358.jpg,2,False
796679002,https://www.gap.com/webcontent/0059/901/384/cn59901384.jpg,3,False
796679002,https://www.gap.com/webcontent/0059/901/200/cn59901200.jpg,4,False
796679002,https://www.gap.com/webcontent/0059/626/640/cn59626640.jpg,5,False
796679002,https://www.gap.com/webcontent/0059/901/206/cn59901206.jpg,6,False
803950002,https://www.gap.com/webcontent/0060/061/909/cn60061909.jpg,1,True
803950002,https://www.gap.com/webcontent/0060/077/302/cn60077302.jpg,2,False
803950002,https://www.gap.com/webcontent/0060/064/522/cn60064522.jpg,3,False
803950002,https://www.gap.com/webcontent/0060/061/993/cn60061993.jpg,4,False
803950002,https://www.gap.com/webcontent/0059/626/390/cn59626390.jpg,5,False
803950002,https://www.gap.com/webcontent/0059/626/424/cn59626424.jpg,6,False
720206002,https://www.gap.com/webcontent/0020/534/363/cn20534363.jpg,1,True
720206002,https://www.gap.com/webcontent/0020/534/336/cn20534336.jpg,2,False
720206002,https://www.gap.com/webcontent/0020/534/388/cn20534388.jpg,3,False
720206002,https://www.gap.com/webcontent/0020/534/361/cn20534361.jpg,4,False
720206002,https://www.gap.com/webcontent/0020/609/364/cn20609364.jpg,5,False
720206002,https://www.gap.com/webcontent/0012/759/437/cn12759437.jpg,6,False
876543042,https://www.gap.com/webcontent/0055/768/565/cn55768565.jpg,1,True
876543042,https://www.gap.com/webcontent/0055/768/605/cn55768605.jpg,2,False
876543042,https://www.gap.com/webcontent/0055/768/403/cn55768403.jpg,3,False
876543042,https://www.gap.com/webcontent/0055/768/400/cn55768400.jpg,4,False
876543042,https://www.gap.com/webcontent/0055/663/941/cn55663941.jpg,5,False
709159002,https://www.gap.com/webcontent/0059/178/361/cn59178361.jpg,1,True
709159002,https://www.gap.com/webcontent/0059/177/827/cn59177827.jpg,2,False
709159002,https://www.gap.com/webcontent/0059/177/790/cn59177790.jpg,3,False
709159002,https://www.gap.com/webcontent/0059/177/787/cn59177787.jpg,4,False
709159002,https://www.gap.com/webcontent/0059/177/789/cn59177789.jpg,5,False
709159002,https://www.gap.com/webcontent/0059/208/601/cn59208601.jpg,6,False
899348002,https://www.gap.com/webcontent/0062/000/583/cn62000583.jpg,1,True
899348002,https://www.gap.com/webcontent/0062/000/489/cn62000489.jpg,2,False
899348002,https://www.gap.com/webcontent/0062/000/517/cn62000517.jpg,3,False
899348002,https://www.gap.com/webcontent/0062/000/526/cn62000526.jpg,4,False
899348002,https://www.gap.com/webcontent/0062/000/543/cn62000543.jpg,5,False
899348002,https://www.gap.com/webcontent/0062/000/548/cn62000548.jpg,6,False
796676002,https://www.gap.com/webcontent/0059/901/634/cn59901634.jpg,1,True
796676002,https://www.gap.com/webcontent/0059/901/202/cn59901202.jpg,2,False
796676002,https://www.gap.com/webcontent/0059/907/327/cn59907327.jpg,3,False
796676002,https://www.gap.com/webcontent/0059/901/399/cn59901399.jpg,4,False
796676002,https://www.gap.com/webcontent/0059/626/398/cn59626398.jpg,5,False
796676002,https://www.gap.com/webcontent/0059/626/442/cn59626442.jpg,6,False
899350002,https://www.gap.com/webcontent/0062/019/606/cn62019606.jpg,1,True
899350002,https://www.gap.com/webcontent/0062/019/614/cn62019614.jpg,2,False
899350002,https://www.gap.com/webcontent/0062/019/626/cn62019626.jpg,3,False
899350002,https://www.gap.com/webcontent/0062/019/629/cn62019629.jpg,4,False
899350002,https://www.gap.com/webcontent/0062/019/644/cn62019644.jpg,5,False
899350002,https://www.gap.com/webcontent/0062/019/646/cn62019646.jpg,6,False
865226002,https://www.gap.com/webcontent/0061/022/462/cn61022462.jpg,1,True
865226002,https://www.gap.com/webcontent/0061/022/707/cn61022707.jpg,2,False
865226002,https://www.gap.com/webcontent/0061/022/476/cn61022476.jpg,3,False
865226002,https://www.gap.com/webcontent/0061/022/510/cn61022510.jpg,4,False
865226002,https://www.gap.com/webcontent/0061/022/495/cn61022495.jpg,5,False
865226002,https://www.gap.com/webcontent/0061/022/720/cn61022720.jpg,6,False
843804012,https://www.gap.com/webcontent/0060/481/277/cn60481277.jpg,1,True
843804012,https://www.gap.com/webcontent/0060/481/191/cn60481191.jpg,2,False
843804012,https://www.gap.com/webcontent/0060/481/199/cn60481199.jpg,3,False
843804012,https://www.gap.com/webcontent/0060/481/200/cn60481200.jpg,4,False
843804012,https://www.gap.com/webcontent/0060/137/883/cn60137883.jpg,5,False
843804012,https://www.gap.com/webcontent/0060/137/890/cn60137890.jpg,6,False
781299002,https://www.gap.com/webcontent/0060/077/370/cn60077370.jpg,1,True
781299002,https://www.gap.com/webcontent/0060/077/391/cn60077391.jpg,2,False
781299002,https://www.gap.com/webcontent/0060/077/444/cn60077444.jpg,3,False
781299002,https://www.gap.com/webcontent/0060/077/475/cn60077475.jpg,4,False
781299002,https://www.gap.com/webcontent/0059/626/527/cn59626527.jpg,5,False
781299002,https://www.gap.com/webcontent/0059/626/545/cn59626545.jpg,6,False
605405042,https://www.gap.com/webcontent/0056/462/187/cn56462187.jpg,1,True
605405042,https://www.gap.com/webcontent/0056/461/505/cn56461505.jpg,2,False
605405042,https://www.gap.com/webcontent/0056/461/507/cn56461507.jpg,3,False
605405042,https://www.gap.com/webcontent/0056/461/502/cn56461502.jpg,4,False
605405042,https://www.gap.com/webcontent/0056/168/342/cn56168342.jpg,5,False
605405042,https://www.gap.com/webcontent/0059/642/422/cn59642422.jpg,6,False
889862002,https://www.gap.com/webcontent/0061/457/433/cn61457433.jpg,1,True
